factor,factor_value,conditional_ntu,selected_main_factor,other_features
filt_ntu,0.43625,0.5485452333,True,held at training medians; current and lagged terms moved together
filt_ntu,0.4633333333,0.5669538448,True,held at training medians; current and lagged terms moved together
filt_ntu,0.4904166667,0.5852376921,True,held at training medians; current and lagged terms moved together
filt_ntu,0.5175,0.6033998656,True,held at training medians; current and lagged terms moved together
filt_ntu,0.5445833333,0.6214433253,True,held at training medians; current and lagged terms moved together
filt_ntu,0.5716666667,0.6393709085,True,held at training medians; current and lagged terms moved together
filt_ntu,0.59875,0.6571853376,True,held at training medians; current and lagged terms moved together
filt_ntu,0.6258333333,0.6748892256,True,held at training medians; current and lagged terms moved together
filt_ntu,0.6529166667,0.6924850832,True,held at training medians; current and lagged terms moved together
filt_ntu,0.68,0.7099753237,True,held at training medians; current and lagged terms moved together
cw_level,3.32,0.2637223012,False,held at training medians; current and lagged terms moved together
cw_level,3.341666667,0.2643688801,False,held at training medians; current and lagged terms moved together
cw_level,3.363333333,0.2650157898,False,held at training medians; current and lagged terms moved together
cw_level,3.385,0.2656630305,False,held at training medians; current and lagged terms moved together
cw_level,3.406666667,0.2663106024,False,held at training medians; current and lagged terms moved together
cw_level,3.428333333,0.2669585055,False,held at training medians; current and lagged terms moved together
cw_level,3.45,0.2676067402,False,held at training medians; current and lagged terms moved together
cw_level,3.471666667,0.2682553066,False,held at training medians; current and lagged terms moved together
cw_level,3.493333333,0.2689042048,False,held at training medians; current and lagged terms moved together
cw_level,3.515,0.269553435,False,held at training medians; current and lagged terms moved together
cw_level,3.536666667,0.2702029974,False,held at training medians; current and lagged terms moved together
cw_level,3.558333333,0.2708528921,False,held at training medians; current and lagged terms moved together
cw_level,3.58,0.2715031193,False,held at training medians; current and lagged terms moved together
cw_level,3.601666667,0.2721536792,False,held at training medians; current and lagged terms moved together
cw_level,3.623333333,0.272804572,False,held at training medians; current and lagged terms moved together
cw_level,3.645,0.2734557978,False,held at training medians; current and lagged terms moved together
cw_level,3.666666667,0.2741073568,False,held at training medians; current and lagged terms moved together
cw_level,3.688333333,0.2747592492,False,held at training medians; current and lagged terms moved together
cw_level,3.71,0.2754114751,False,held at training medians; current and lagged terms moved together
cw_level,3.731666667,0.2760640347,False,held at training medians; current and lagged terms moved together
cw_level,3.753333333,0.2767169282,False,held at training medians; current and lagged terms moved together
cw_level,3.775,0.2773701558,False,held at training medians; current and lagged terms moved together
cw_level,3.796666667,0.2780237176,False,held at training medians; current and lagged terms moved together
cw_level,3.818333333,0.2786776137,False,held at training medians; current and lagged terms moved together
cw_level,3.84,0.2793318445,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
