rw_ntu_lag_steps,rw_ph_lag_steps,alum_lag_steps,rw_flow_lag_steps,ridge,mean_validation_rmse_ntu
0,2,1,1,1.0,0.5370211441593825
0,2,1,1,10.0,0.5371377036090733
0,2,1,1,100.0,0.5486325992157501
0,2,1,2,0.01,0.53510630549817
0,2,1,2,0.1,0.5353498144063484
0,2,1,2,1.0,0.5356602446719497
0,2,1,2,10.0,0.5361270304661409
0,2,1,2,100.0,0.5479672410537594
0,2,1,3,0.01,0.5321078550584847
0,2,1,3,0.1,0.5325507848470787
0,2,1,3,1.0,0.5333590626176065
0,2,1,3,10.0,0.5341053027783916
0,2,1,3,100.0,0.5458973960850729
0,2,2,0,0.01,0.5343348407463593
0,2,2,0,0.1,0.5344973495679528
0,2,2,0,1.0,0.5347367522244222
0,2,2,0,10.0,0.5351887437904937
0,2,2,0,100.0,0.5469096026773902
0,2,2,1,0.01,0.5368500390435775
0,2,2,1,0.1,0.5368573764871818
0,2,2,1,1.0,0.5367496464195588
0,2,2,1,10.0,0.5369828764489583
0,2,2,1,100.0,0.5485309067808648
0,2,2,2,0.01,0.5349567578804713
0,2,2,2,0.1,0.5351334013270354
0,2,2,2,1.0,0.5354397023347921
0,2,2,2,10.0,0.5359964817907626
0,2,2,2,100.0,0.5478752567593197
0,2,2,3,0.01,0.5319672966442867
0,2,2,3,0.1,0.5323481924015376
0,2,2,3,1.0,0.5331566799778091
0,2,2,3,10.0,0.533986967495339
0,2,2,3,100.0,0.5458177212028291
0,2,3,0,0.01,0.53508890661855
0,2,3,0,0.1,0.5351612903300909
0,2,3,0,1.0,0.5352650066817481
0,2,3,0,10.0,0.5356653320767032
0,2,3,0,100.0,0.5473632175639753
0,2,3,1,0.01,0.5375831709019185
0,2,3,1,0.1,0.5375375351418714
0,2,3,1,1.0,0.5373262785542252
0,2,3,1,10.0,0.5374790064951238
0,2,3,1,100.0,0.5489782824484642
0,2,3,2,0.01,0.5355575238954663
0,2,3,2,0.1,0.535717658344665
0,2,3,2,1.0,0.5359919189788432
0,2,3,2,10.0,0.5365010234334544
0,2,3,2,100.0,0.5483395547025247
0,2,3,3,0.01,0.532556804398996
0,2,3,3,0.1,0.5329326601030022
0,2,3,3,1.0,0.5337056624277243
0,2,3,3,10.0,0.5344818567331974
0,2,3,3,100.0,0.5462727925092438
0,3,0,0,0.01,0.5345954329472105
0,3,0,0,0.1,0.5347720617812565
0,3,0,0,1.0,0.5350338669752792
0,3,0,0,10.0,0.5356542951730779
0,3,0,0,100.0,0.5475837008757473
0,3,0,1,0.01,0.5371200524064359
0,3,0,1,0.1,0.5371304073942424
0,3,0,1,1.0,0.5370425233264474
0,3,0,1,10.0,0.5374636609292758
0,3,0,1,100.0,0.5492208285194884
0,3,0,2,0.01,0.5352783351692402
0,3,0,2,0.1,0.5354500361421486
0,3,0,2,1.0,0.5357549071034546
0,3,0,2,10.0,0.5364737160601634
0,3,0,2,100.0,0.5485552029636726
0,3,0,3,0.01,0.5322979730507111
0,3,0,3,0.1,0.5326916318694807
0,3,0,3,1.0,0.5335043434297995
0,3,0,3,10.0,0.5344670398282387
0,3,0,3,100.0,0.5464844919973605
0,3,1,0,0.01,0.5353125028254436
0,3,1,0,0.1,0.5354797523044241
0,3,1,0,1.0,0.5356364745887475
0,3,1,0,10.0,0.5359343197222846
0,3,1,0,100.0,0.5475908880332959
0,3,1,1,0.01,0.5378541476222687
0,3,1,1,0.1,0.5378718466642461
0,3,1,1,1.0,0.5376830626955095
0,3,1,1,10.0,0.5377534569947457
0,3,1,1,100.0,0.5492301886062736
0,3,1,2,0.01,0.5358983015048776
0,3,1,2,0.1,0.5360862374631532
0,3,1,2,1.0,0.5363179586921303
0,3,1,2,10.0,0.5367420467886089
0,3,1,2,100.0,0.5485650907486009
0,3,1,3,0.01,0.5328701387764585
0,3,1,3,0.1,0.5332700607717898
0,3,1,3,1.0,0.5340106472272658
0,3,1,3,10.0,0.5347182354789876
0,3,1,3,100.0,0.5464933596403984
0,3,2,0,0.01,0.5351197901798895
